72405, 17947;
72402, 18093;
72411, 18230;
72432, 18365;
72465, 18497;
72511, 18624;
72569, 18749;
72638, 18861;
72718, 18968;
72809, 19065;
72910, 19151;
73022, 19237;
73144, 19304;
73276, 19359;
73417, 19396;
73566, 19439;
73723, 19480;
73889, 19502;
74062, 19523;
74247, 19521;
74442, 19502;
74647, 19467;
74860, 19421;
75080, 19351;
75306, 19276;
75536, 19178;
75770, 19070;
76005, 18942;
76242, 18804;
76479, 18648;
76713, 18485;
76944, 18307;
77171, 18128;
77393, 17951;
77609, 17745;
77819, 17538;
78021, 17337;
78216, 17111;
78401, 16868;
78575, 16651;
78740, 16403;
78893, 16171;
79035, 15930;
79165, 15690;
79282, 15462;
79386, 15229;
79478, 15010;
79557, 14791;
79623, 14569;
79676, 14354;
79717, 14133;
79744, 13945;
79760, 13759;
79764, 13580;
79757, 13410;
79738, 13243;
79708, 13078;
79668, 12932;
79617, 12791;
79555, 12640;
79482, 12514;
79400, 12394;
79309, 12277;
79209, 12169;
79101, 12085;
78985, 12003;
78862, 11942;
78733, 11900;
78599, 11871;
78461, 11844;
78319, 11845;
78173, 11600;
78015, 11620;
77855, 11660;
77694, 11709;
77534, 11776;
77376, 11847;
77220, 11933;
77067, 12028;
76917, 12139;
76772, 12250;
76631, 12368;
76496, 12493;
76366, 12640;
76231, 12780;
76103, 12920;
75982, 13071;
75868, 13232;
75762, 13385;
75662, 13552;
75572, 13714;
75489, 13887;
75415, 14048;
75351, 14207;
75295, 14382;
75248, 14532;
75210, 14691;
75181, 14854;
75161, 14999;
75149, 15143;
75146, 15280;
75151, 15415;
75163, 15529;
75183, 15655;
75210, 15783;
75246, 15894;
75289, 15998;
75339, 16095;
75396, 16182;
75459, 16262;
75528, 16332;
75603, 16396;
75683, 16468;
75769, 16525;
75860, 16569;
75955, 16604;
76054, 16633;
76156, 16647;
76260, 16657;
76367, 16654;
76475, 16646;
76584, 16615;
76693, 16587;
76802, 16556;
76910, 16517;
77018, 16452;
77123, 16397;
77227, 16338;
77330, 16256;
77430, 16178;
77526, 16099;
77619, 16006;
77707, 15916;
77791, 15832;
77872, 15738;
77948, 15631;
78019, 15530;
78084, 15424;
78144, 15327;
78200, 15216;
78250, 15092;
78294, 14981;
78333, 14859;
78366, 14751;
78393, 14654;
78414, 14519;
78428, 14414;
78436, 14284;
78437, 14185;
78432, 14096;
78422, 14011;
78408, 13907;
78388, 13817;
78363, 13743;
78333, 13674;
78298, 13610;
78259, 13551;
78216, 13493;
78169, 13442;
78119, 13398;
78066, 13359;
78010, 13337;
77952, 13325;
77892, 13304;
77830, 13290;
77766, 13276;
77701, 13281;
77636, 13283;
77570, 13290;
77505, 13300;
77439, 13325;
77374, 13345;
77310, 13379;
77247, 13419;
77185, 13456;
77125, 13497;
77066, 13564;
77010, 13614;
76957, 13668;
76906, 13723;
76857, 13798;
76812, 13863;
76770, 13941;
76731, 14004;
76695, 14075;
76663, 14147;
76634, 14225;
76609, 14309;
76587, 14379;
76569, 14452;
76554, 14519;
76542, 14591;
76534, 14652;
76529, 14720;
76528, 14771;
76530, 14826;
76535, 14887;
76543, 14953;
76555, 15004;
76570, 15046;
76587, 15088;
76606, 15133;
76628, 15182;
76654, 15212;
76682, 15252;
76713, 15280;
76745, 15302;
76778, 15315;
76813, 15336;
76849, 15364;
76888, 15372;
76927, 15379;
76968, 15383;
77010, 15365;
77051, 15354;
77092, 15348;
77135, 15342;
77177, 15318;
77219, 15305;
77260, 15285;
77300, 15261;
77340, 15234;
77379, 15204;
77417, 15160;
77453, 15133;
77488, 15102;
77522, 15057;
77554, 15017;
77584, 14969;
77612, 14943;
77639, 14911;
77664, 14876;
77688, 14823;
77708, 14789;
77728, 14745;
77745, 14687;
77760, 14644;
77772, 14586;
77781, 14547;
77789, 14497;
77794, 14452;
77797, 14415;
77799, 14384;
77798, 14351;
77795, 14312;
77790, 14280;
77782, 14246;
77773, 14206;
77761, 14177;
77746, 14152;
77730, 14129;
77712, 14096;
77692, 14071;
77671, 14050;
77649, 14040;
77626, 14021;
77601, 14004;
77574, 13999;
77547, 13999;
77520, 14008;
77492, 14017;
77464, 14035;
77437, 14041;
77410, 14048;
77383, 14053;
77357, 14084;
77331, 14102;
77306, 14118;
77281, 14134;
77257, 14154;
77234, 14175;
77212, 14194;
77191, 14222;
77171, 14241;
77152, 14275;
77133, 14287;
77115, 14317;
77099, 14337;
77084, 14358;
77070, 14384;
77057, 14423;
77046, 14456;
77037, 14486;
77030, 14519;
77024, 14551;
77021, 14575;
77019, 14598;
77018, 14626;
77018, 14651;
77019, 14667;
77021, 14679;
77025, 14700;
77031, 14720;
77038, 14759;
77047, 14786;
77058, 14797;
77070, 14815;
77083, 14813;
77096, 14819;
77110, 14827;
77125, 14836;
77139, 14841;
77154, 14845;
77171, 14848;
77188, 14856;
77204, 14852;
77219, 14849;
77233, 14840;
77246, 14842;
77257, 14840;
77266, 14841;
77273, 14843;
77278, 14841;
77280, 14811;
77277, 14810;
77270, 14814;
77261, 14796;
77246, 14783;
77226, 14783;
77201, 14782;
77171, 14776;
77135, 14775;
77094, 14762;
77047, 14751;
76993, 14742;
76932, 14741;
76865, 14755;
76792, 14766;
76714, 14775;
76629, 14794;
76539, 14801;
76442, 14829;
76340, 14859;
76232, 14896;
76118, 14920;
75998, 14964;
75873, 15010;
75744, 15056;
75611, 15103;
75473, 15150;
75331, 15205;
75186, 15261;
75037, 15336;
74886, 15425;
74734, 15505;
74581, 15597;
74427, 15708;
74274, 15826;
74122, 15934;
73972, 16034;
73823, 16145;
73676, 16258;
73531, 16374;
73389, 16491;
73250, 16615;
73116, 16750;
72987, 16896;
72865, 17029;
72751, 17179;
72645, 17319;
72547, 17461;
72459, 17604;
72381, 17762;
72314, 17913;
72259, 18062;
72217, 18209;
72188, 18356;
72172, 18492;
72170, 18633;
72182, 18768;
72209, 18887;
72249, 19013;
72305, 19116;
72377, 19204;
72462, 19304;
72563, 19381;
72678, 19452;
72808, 19513;
72952, 19551;
73110, 19582;
